NUID,SATREAD,SATMATH,ACTCUM,CARNIGIE,AVGSALMALE,AVGSALWOM,AVGSALTOT,HOUSE,HDEM,HREP,SENATE,SDEM,SREP,PERNWHT,STUFACR,TUITINS,FEEINS,TUITOUT,FEEOUT,FOOTBALL,TUITPER,SLCTVTY,APPEAL,RSRCHPSTU,BINGEDRK,HEALTHINS,MENTALHLTH,PHYSHLTH,CHGENROL,FRACDEGRE,RETPCNT
830,470,470,19,18,7569,6365,7028,0.805,-0.468,0.874,1.072,-0.818,1.117,0.945265551,18,8130,1236,16260,1236,0.364,0.302571047,0.87377538,0.25479363,1111.287965,NA,NA,NA,NA,1.048535422,0.118889069,58
4829,640,660,28,15,11424,9579,10517,0.805,-0.468,0.874,1.072,-0.818,1.117,0.379743899,16,8040,0,18368,0,NA,0.063116104,0.581351094,0.367521368,12489.91821,13,19.5,15.1,16.3,0.992357274,0.205530296,82
4370,460,460,19,18,8304,7658,7952,0.805,-0.468,0.874,1.072,-0.818,1.117,0.964268153,17,6936,2284,13872,2284,0.364,0.315154242,0.458963879,0.282069795,511.6966071,14.9,18,14.3,14.6,0.974444977,0.134732011,63
7025,610,620,31,16,10932,8409,9802,0.805,-0.468,0.874,1.072,-0.818,1.117,0.248873684,23,10470,0,26950,0,0.933,0.415463539,0.525851924,0.375938728,1511.360758,14.8,16.8,15.2,15.6,1.030768849,0.204567904,86
6880,495,495,24,18,7950,6428,7251,0.805,-0.468,0.874,1.072,-0.818,1.117,0.486324216,14,8880,760,19950,760,NA,0.363184577,0.765920826,0.266966292,62.45380254,14.9,18,14.3,14.6,0.968033581,0.143762508,67
766,620,640,30,16,10841,8558,9945,0.805,-0.468,0.874,1.072,-0.818,1.117,0.216814311,19,9072,1624,27216,1624,0.615,0.357616895,0.80543383,0.308011425,4161.796457,NA,NA,NA,NA,1.053168114,0.216403872,91
3623,610,570,28,21,7316,7113,7233,0.805,-0.468,0.874,1.072,-0.818,1.117,0.211287988,13,33200,1248,33200,1248,0.1,0.37118299,0.483879635,0.182121044,0,13,19.5,15.1,16.3,1.11902834,0.188856729,82
4471,NA,NA,NA,22,5207,5321,5275,0.805,-0.468,0.874,1.072,-0.818,1.117,0.614492754,16,12560,830,12560,830,NA,0.985029053,0.974683544,0.844155844,0,13,19.5,15.1,16.3,1.161616162,0.256521739,NA
6533,525,525,24,22,6627,6603,6615,0.805,-0.468,0.874,1.072,-0.818,1.117,0.379099924,14,23237,1190,23237,1190,0.818,0.572434027,0.567599068,0.284394251,0,14.9,18,14.3,14.6,1.090682196,0.18993135,62
213,NA,NA,NA,24,5091,4650,4981,0.805,-0.468,0.874,1.072,-0.818,1.117,0.26,7,8952,840,8952,840,NA,0.193976553,0.333333333,1,65.82,NA,NA,NA,NA,0.877192982,0.21,67
