"","NUID","SATREAD","SATMATH","ACTCUM","CARNIGIE","AVGSALMALE","AVGSALWOM","AVGSALTOT","HOUSE","HDEM","HREP","SENATE","SDEM","SREP","PERNWHT","STUFACR","TUITINS","FEEINS","TUITOUT","FEEOUT","FOOTBALL","TUITPER","SLCTVTY","APPEAL","RSRCHPSTU","BINGEDRK","HEALTHINS","MENTALHLTH","PHYSHLTH","RETPCNT"
"1",830,470,470,19,18,7288,6365,6892,0.796,-0.468,0.906,1.008,-0.617,1.079,0.944553747,20,7500,1596,15000,1596,0.333,0.288500658,0.525603474,0.231936972,1799.760508,0,0,0,0,66
"2",4829,640,640,27,15,10799,9058,9957,0.796,-0.468,0.906,1.008,-0.617,1.079,0.364574054,18,7510,0,17062,0,0.5,0.063901864,0.856917688,0.357245044,12142.0836,11.4,21.4,17,18.3,83
"3",4370,470,480,19,18,6876,6386,6609,0.796,-0.468,0.906,1.008,-0.617,1.079,0.964530892,16,6936,1784,13872,1784,0.583,0.308805907,0.532646944,0.266943969,377.7482838,12.2,18.5,15.5,16.2,57
"4",7025,620,630,31,16,10917,8087,9667,0.796,-0.468,0.906,1.008,-0.617,1.079,0.239991778,21,9826,0,24950,0,0.857,0.409314635,0.5104636,0.39626038,1394.83789,12.1,18.5,15.9,16.6,87
"5",6880,538,550,24,18,7765,6661,7255,0.796,-0.468,0.906,1.008,-0.617,1.079,0.4755903,15,8430,650,18990,650,0,0.379611001,0.801695714,0.360164512,70.59428845,12.2,18.5,15.5,16.2,65
"6",766,630,645,30,16,10304,8087,9487,0.796,-0.468,0.906,1.008,-0.617,1.079,0.192732066,17,8592,1608,25776,1608,0.615,0.361231639,0.834650313,0.324431256,4910.465637,0,0,0,0,91
"7",3623,620,620,29,21,7503,7366,7451,0.796,-0.468,0.906,1.008,-0.617,1.079,0.192653061,13,30754,1134,30754,1134,0.3,0.275986134,0.533935018,0.258282623,0,11.4,21.4,17,18.3,84
"8",4471,0,0,0,22,5019,5088,5065,0.796,-0.468,0.906,1.008,-0.617,1.079,0.669435216,13,12020,770,12020,770,0,0.990065094,1,0.909090909,0,11.4,21.4,17,18.3,0
"9",6533,560,530,24,22,5528,6055,5772,0.796,-0.468,0.906,1.008,-0.617,1.079,0.436838391,15,20200,1049,20200,1049,0.7,0.450862284,0.583855254,0.270560191,0,12.2,18.5,15.5,16.2,70
"10",213,0,0,0,24,4210,5029,4346,0.796,-0.468,0.906,1.008,-0.617,1.079,0.27027027,6,8952,840,8952,840,0,0.13270001,1,0.75,499.8198198,0,0,0,0,57
"11",6914,0,0,0,21,5463,6009,5715,0.796,-0.468,0.906,1.008,-0.617,1.079,0.236842105,9,15204,1054,15204,1054,0,0.199860214,0.652542373,0.480519481,0,0,0,0,0,56
"12",3830,0,0,23,18,6489,5833,6146,0.796,-0.468,0.906,1.008,-0.617,1.079,0.565127238,15,6868,1150,13736,1150,0.455,0.468881439,0.719921105,0.479452055,94.02356268,0,0,0,0,65
"13",8067,605,615,25,1,5896,5951,5916,0.796,-0.468,0.906,1.008,-0.617,1.079,0.426966292,17,6000,2778,12000,2778,0,0.118986152,0.613861386,0.560483871,0,0,0,0,0,35
"14",2774,530,510,24,22,5012,4830,4914,0.796,-0.468,0.906,1.008,-0.617,1.079,0.384418247,12,18720,755,18720,755,0,0.486605812,0.584737364,0.466101695,0,12.8,19.1,15.8,16.3,77
"15",6980,600,595,26,19,7874,6974,7437,0.796,-0.468,0.906,1.008,-0.617,1.079,0.271745476,16,9990,670,20550,670,0,0.358943886,0.742998353,0.399113082,8.806771745,0,0,0,0,79
"16",1581,593,530,25,18,7718,7110,7424,0.796,-0.468,0.906,1.008,-0.617,1.079,0.282624633,17,5856,1556,11712,1556,0.818,0.375823733,0.678842676,0.502930208,12.17631965,0,0,0,0,72
"17",7214,530,510,22,22,5339,4961,5147,0.796,-0.468,0.906,1.008,-0.617,1.079,0.981580223,14,15714,1006,15714,1006,0,0.390982628,0.478652751,0.370664024,467.3155599,12.3,16.3,14,13.9,76
"18",1462,620,615,29,19,9224,7467,8367,0.796,-0.468,0.906,1.008,-0.617,1.079,0.197393275,12,26524,800,26524,800,0.636,0.51779386,0.595368145,0.267889908,0,11.4,21.4,17,18.3,88
"19",6753,570,585,25,16,7772,6625,7195,0.796,-0.468,0.906,1.008,-0.617,1.079,0.34426882,20,6888,300,13776,300,0.462,0.157023576,0.833485819,0.455104281,1608.085058,12.8,19.1,15.8,16.3,71
"20",3134,600,595,27,20,6098,6040,6071,0.796,-0.468,0.906,1.008,-0.617,1.079,0.331909701,13,30506,1962,30506,1962,0,0.294453732,0.517694155,0.111970306,0,12.8,19.1,15.8,16.3,73
"21",2480,0,0,21,24,4539,4628,4554,0.796,-0.468,0.906,1.008,-0.617,1.079,0.383084577,13,10920,450,10920,450,0,0.469586888,1,0.62962963,0,11.4,21.4,17,18.3,82
"22",2647,495,495,18,21,4540,4645,4597,0.796,-0.468,0.906,1.008,-0.617,1.079,0.917771883,17,13548,2317,13548,2317,0.455,0.459930452,0.590095327,0.099684791,0,12.1,18.5,15.9,16.6,67
"23",3350,0,0,26,18,6652,5799,6246,0.796,-0.468,0.906,1.008,-0.617,1.079,0.536405916,15,6528,1036,13056,1036,0.25,0.507588372,0.441445707,0.777976403,11.55935499,0,0,0,0,75
"24",5930,0,0,0,10,4982,3719,3929,0.746,-1.429,1.263,0.597,-1.449,1.02,0.730528201,39,0,0,0,0,0,0,0.990384615,0.63592233,0,14.5,22.2,13.1,13.8,77
"25",6503,0,0,0,15,11096,9031,10303,0.746,-1.429,1.263,0.597,-1.449,1.02,0.468624323,20,9576,1005,27374,1005,0.714,0.264589828,0.746172417,0.31715608,10138.75845,13.7,20.6,13.3,13.8,82
"26",705,0,0,0,22,8621,8120,8536,0.746,-1.429,1.263,0.597,-1.449,1.02,0.404071247,16,30720,928,30720,928,0,0,0.801573918,0.354137447,418.8295165,0,0,0,0,82
"27",7433,0,0,0,18,5967,5663,5792,0.746,-1.429,1.263,0.597,-1.449,1.02,0.577297087,19,16442,731,16442,731,0,0.915968886,0.57566629,0.216585508,0,14.5,22.2,13.1,13.8,62
"28",4978,0,0,0,16,8617,7372,7987,0.746,-1.429,1.263,0.597,-1.449,1.02,0.365607366,18,8072,656,14742,808,0.583,0.385120228,0.809949765,0.199311752,940.3104313,0,0,0,0,74
