"","NUID","SATREAD","SATMATH","ACTCUM","CARNIGIE","AVGSALMALE","AVGSALWOM","AVGSALTOT","HOUSE","HDEM","HREP","SENATE","SDEM","SREP","PERNWHT","STUFACR","TUITINS","FEEINS","TUITOUT","FEEOUT","FOOTBALL","TUITPER","SLCTVTY","APPEAL","RSRCHPSTU","HIGHBP","CHGENROL"
"1",830,470,480,19,18,7487,6372,7017,0.805,-0.461,0.877,1.072,-0.818,1.117,0.942949591,19,"7770","1596","15540","1596",0.273,0.286084212,0.653841286,0.282810685,1480.819653,0,1.050259345
"2",4829,630,668,28,15,11075,9318,10221,0.805,-0.461,0.877,1.072,-0.818,1.117,0.369889503,18,"7766","0","17654","0",0,0.066826678,0.604275287,0.349654875,12131.63706,44.1,1.018331849
"3",4370,450,460,19,18,8383,7550,7940,0.805,-0.461,0.877,1.072,-0.818,1.117,0.961986903,16,"6936","1784","13872","1784",0.545,0.315085441,0.463858305,0.263415893,444.5264335,40.8,0.895451945
"4",7025,600,610,31,16,10844,8259,9710,0.805,-0.461,0.877,1.072,-0.818,1.117,0.245554783,24,"10170","0","25950","0",0.933,0.448753645,0.535867193,0.371701031,1481.829244,41.3,1.034688319
"5",6880,520,540,23,18,8094,6841,7588,0.805,-0.461,0.877,1.072,-0.818,1.117,0.489990313,16,"8700","650","19560","650",0,0.366386626,0.787089014,0.315843097,67.53826284,40.8,0.988194001
"6",766,630,650,30,16,10592,8361,9738,0.805,-0.461,0.877,1.072,-0.818,1.117,0.202802493,19,"8808","1616","26424","1616",0.538,0.372643095,0.776604512,0.325130994,4686.620583,0,1.045415176
"7",3623,590,610,29,21,7307,6752,7078,0.805,-0.461,0.877,1.072,-0.818,1.117,0.2048583,13,"31954","1174","31954","1174",0.5,0.329297311,0.530578962,0.225922131,0,44.1,1.008163265
"8",4471,0,0,0,22,5019,5300,5206,0.805,-0.461,0.877,1.072,-0.818,1.117,0.654882155,14,"12320","770","12320","770",0,0.96511627,0.95412844,0.673076923,0,44.1,0.986710963
"9",6533,550,568,23,22,5687,6156,5911,0.805,-0.461,0.877,1.072,-0.818,1.117,0.357737105,14,"21975","1046","21975","1046",0.833,0.439725319,0.576943991,0.237511781,0,40.8,0.848270995
"10",213,660,610,17,24,3372,3772,3439,0.805,-0.461,0.877,1.072,-0.818,1.117,0.263157895,8,"8952","840","8952","840",0,0.160485937,0.7,1,492.0526316,0,1.027027027
"11",6914,560,660,25,21,5821,5365,5545,0.805,-0.461,0.877,1.072,-0.818,1.117,0.342494715,9,"15774","1094","15774","1094",0,0.242675245,0.629179331,0.314009662,0,0,1.244736842
"12",3830,530,560,21,18,6388,5572,5938,0.805,-0.461,0.877,1.072,-0.818,1.117,0.541732283,13,"7144","1590","14288","1590",0.636,0.448345519,0.734728033,0.478359909,113.0974409,0,0.957587182
"13",8067,580,600,26,1,6018,5754,5886,0.805,-0.461,0.877,1.072,-0.818,1.117,0.431965443,17,"6000","2778","12000","2778",0,0.102140023,0.591814159,0.514018692,0,0,1.040449438
"14",2774,540,580,25,22,5059,5007,5028,0.805,-0.461,0.877,1.072,-0.818,1.117,0.394358407,13,"19470","1000","19470","1000",0,0.523179284,0.605084746,0.403361345,0,41,0.926704254
"15",6980,595,580,26,19,7973,7006,7496,0.805,-0.461,0.877,1.072,-0.818,1.117,0.280094647,16,"10740","670","22110","670",0,0.350593409,0.700098814,0.356386733,11.07630878,0,0.986865149
"16",1581,560,535,25,18,7771,7015,7393,0.805,-0.461,0.877,1.072,-0.818,1.117,0.296807593,21,"6096","1678","12192","1678",0.75,0.402911134,0.579993974,0.609350649,9.235424627,0,0.991324536
"17",7214,540,500,22,22,4633,4270,4439,0.805,-0.461,0.877,1.072,-0.818,1.117,0.985500242,12,"15714","1006","15714","1006",0,0.381420664,0.474899598,0.357293869,397.6172064,36.3,1.002908386
"18",1462,610,610,29,19,9472,7713,8599,0.805,-0.461,0.877,1.072,-0.818,1.117,0.192603442,12,"27520","850","27520","850",0.545,0.645833791,0.933041302,0.276995305,0,44.1,1.031734039
"19",6753,560,540,25,16,7679,6692,7179,0.805,-0.461,0.877,1.072,-0.818,1.117,0.372593801,20,"7032","300","14064","300",0.417,0.17073517,0.781584906,0.406527617,1626.536161,41,1.045599272
"20",3134,600,605,27,20,6294,6261,6278,0.805,-0.461,0.877,1.072,-0.818,1.117,0.309278351,14,"32032","2060","32032","2060",0,0.446704634,0.41322873,0.136170213,0,41,0.946918853
"21",2480,680,630,25,24,4478,4239,4425,0.805,-0.461,0.877,1.072,-0.818,1.117,0.395939086,8,"11340","450","11340","450",0,0.647614859,1,0.611111111,0,44.1,0.980099502
"22",2647,480,450,21,21,4764,4778,4770,0.805,-0.461,0.877,1.072,-0.818,1.117,0.902753873,15,"9548","870","9548","870",0.333,0.335006913,0.565900168,0.103402709,0,41.3,1.027409372
"23",3350,528,550,26,18,6688,5973,6336,0.805,-0.461,0.877,1.072,-0.818,1.117,0.522736842,15,"6888","1036","13776","1036",0.333,0.508498231,0.91865685,0.407349492,13.76370526,0,0.905382739
"24",5930,0,0,0,10,5461,4147,4293,0,0,0,0,0,0,0.749134948,33,"0","0","0","0",0,0,0.983739837,0.574380165,0,29.7,1.034914951
"25",6503,0,0,0,15,11336,9222,10499,0,0,0,0,0,0,0.483527047,22,"9864","1013","29017","1013",0.538,0.271660786,0.764262314,0.296995676,10411.27764,27.9,1.028376283
"26",705,0,0,0,22,8663,7973,8514,0,0,0,0,0,0,0.425482981,17,"31944","1200","31944","1200",0,0,0.791404612,0.386092715,386.4949402,0,1.106361323
"27",7433,0,0,0,18,6172,5843,5985,0,0,0,0,0,0,0.558401337,17,"16451","678","16451","678",0,0.900580997,0.431994199,0.232256765,0,29.7,1.09894978
"28",4978,0,0,0,16,8587,7402,7989,0,0,0,0,0,0,0.38309948,18,"8400","675","14907","816",0.636,0.392515898,0.770605108,0.22270057,964.4535393,0,1.046596047
"29",3970,580,570,27,20,4845,4089,4386,0,0,0,0,0,0,0.23964497,9,"26088","1415","26088","1415",0,0.79858243,0.704268293,0.151515152,0,0,0.892605634
