NUID,CHGENROL_13,FRACDEGRE_13,RETPCNT_13,CHGENROL_14,FRACDEGRE_14,RETPCNT_14,CHGENROL_15,FRACDEGRE_15,RETPCNT_15,CHGENROL_16,FRACDEGRE_16,RETPCNT_16
9219,1,0.210894616,0.88,0.924851453,0.180376457,0.8,0.991286237,0.187280176,0.88,1.041808368,0.176585383,0.78
8874,1,0.156202705,0.75,0.945279979,0.106380103,0.69,0.992575866,0.108358975,0.4,1.034042503,0.133871941,0.81
9774,1,0.152628571,0.88,0.957195962,0.153659719,0.73,0.892021652,0.164899807,0.75,1.054515192,0.17465635,0.73
8377,1,0.165273651,0.63,1.016552755,0.1303641,0.7,1.083152787,0.183078288,0.87,0.961548977,0.201249149,0.89
9424,1,0.237067621,0.72,0.980712018,0.179443366,0.75,1.018564428,0.186204531,0.63,0.972685383,0.195003816,0.7
8360,1,0.173627955,0.6,1.125105058,0.194463633,0.75,1.042508346,0.142932822,0.6,1.096055204,0.125246825,0.7
9577,1,0.193319397,0.85,1.019414961,0.194389855,0.68,1.058347942,0.199836921,0.76,1.046786104,0.173197051,0.88
8369,1,0.188387622,0.74,1.067603863,0.211878185,0.75,1.111411541,0.197358833,0.7,1.034883507,0.183929573,0.75
9317,1,0.209021632,0.86,0.932434587,0.213561106,0.77,1.013493873,0.219205475,0.82,0.961177159,0.161058857,0.83
8412,1,0.204507731,0.8,1.053275282,0.158770365,0.63,1.076978647,0.1947744,0.7,1.025749688,0.188191751,0.81
8572,1,0.2221722,0.58,1.017404184,0.27020571,0.75,1.167300903,0.151702352,0.72,1.017862059,0.18470462,0.7
9925,1,0.221112904,0.99,0.969008394,0.271537956,0.87,1.058300227,0.25743105,0.97,0.960099772,0.180752643,0.97
9122,1,0.189083568,0,0.924928414,0.197936543,0.75,1.070831683,0.196489244,0.8,1.039972006,0.13684621,0.78
9621,1,0.22333893,0,1.092991661,0.208085798,0.75,1.070714848,0.200468043,0.65,1.065498932,0.13716999,0.71
9207,1,0.211527422,0.94,1.02025057,0.212700224,0.84,1.084046619,0.160943662,0.94,1.033655357,0.138563521,0.93
9524,1,0.213182301,0.58,0.978618307,0.244415327,0.65,1.057669416,0.199296053,0.7,1.081861369,0.123413383,0.71
8876,1,0.201220373,0.79,0.997643819,0.298955599,0.6,1.117337035,0.162293781,0.82,1.118241353,0.121848652,0.72
9878,1,0.238253859,0.76,1.080996051,0.223197611,0.7,1.050457884,0.239612074,0.64,1.039513519,0.1840428,0.41
9486,1,0.23776414,0.85,0.950284311,0.195493015,0.7,0.993062718,0.170989864,0.7,0.991515905,0.121566805,0.7
9244,1,0.18612048,0.75,0.984072159,0.181024514,0.84,1.060665978,0.184364084,0.63,0.913611257,0.125935229,0.7
8613,1,0.18530008,0.75,0.977921264,0.225271889,0.79,1.037692046,0.226890736,0.8,0.926257009,0.123863955,0.72
8615,1,0.23362269,0.85,0.995928964,0.23613324,0.87,1.071530782,0.225535279,0.8,1.04333713,0.123806071,0.86
9256,1,0.220279307,0.86,1.068560342,0.216953374,0.61,1.052748023,0.213552657,0.83,1.044988692,0.121991488,0.86
9042,1,0.220745068,0.86,0.958247059,0.22021892,0.75,1.04069842,0.151624456,0.79,0.94378845,0.197520836,0.9
8916,1,0.248638235,0.95,1.019728588,0.240727173,0.85,1.006224818,0.152296171,0.94,1.002178966,0.121160303,0.91
9594,1,0.199433353,0.6,0.960725317,0.207107826,0.62,0.999475141,0.214266528,0.63,0.969565013,0.120899144,0.7
9773,1,0.229599353,0.88,1.068968847,0.209233402,0.75,0.957981205,0.225590918,0.7,1.034588312,0.1233789,0.63
9112,1,0.235211653,0.7,1.006537468,0.217054923,0.63,1.056026645,0.191836331,0.7,1.070521168,0.12554457,0.7
8727,1,0.236298028,0.79,0.986865398,0.215268354,0.82,1.07950897,0.220237193,0.62,1.059306014,0.120893986,0.79
9748,1,0.227821501,0.84,1.034519712,0.225708463,0.75,1.072405302,0.157090806,0.78,1.058316684,0.1212113,0.73
9156,1,0.229678484,0.82,0.991726516,0.214784699,0.49,1.01285284,0.149413916,0.86,0.994392926,0.120843632,0.83
8538,1,0.172904648,0.75,0.992036078,0.19228976,0.71,1.056040486,0.167099715,0.77,1.001229558,0.121163773,0.74
8553,1,0.252245262,0.98,0.957762361,0.27745521,0.97,1.083440074,0.167488611,0.99,1.013990733,0.1999212,0.98
9145,1,0.241974843,0.84,0.980164476,0.235304776,0.75,0.983076756,0.143122111,0.85,0.94245365,0.134683824,0.83
9829,1,0.14983013,0.77,0.970847609,0.166660423,0.75,1.027834807,0.183409089,0.7,1.03830478,0.16922361,0.7
9805,1,0.224611102,0.77,0.994485874,0.201778762,0.93,1.062981217,0.199497551,0.65,0.984523047,0.121348095,0.73
8460,1,0.177054247,0.8,1.003157427,0.181342112,0.71,1.05711182,0.186910969,0.79,1.034568492,0.120270648,0.75
8946,1,0.206185018,0.75,0.999643271,0.208522082,0.65,0.957335289,0.180002491,0.7,1.057085922,0.174789844,0.7
9507,1,0.265938432,0.75,0.91526433,0.280841894,0.95,1.226868379,0.173319349,0.63,1.03463075,0.128197811,0.7
9672,1,0.161034709,0.73,0.99852229,0.241398743,0.65,1.357782578,0.193651614,0.7,1.043082237,0.110155211,0.7
9261,1,0.239750892,0.85,1.151567816,0.246210982,0.81,1.050239449,0.150383012,0.89,0.997688891,0.121139133,0.85
8871,1,0.234095499,0.91,0.990884208,0.233215318,0.83,1.060601488,0.231741119,0.92,1.061833359,0.122189566,0.87
9526,1,0.205148491,0.62,0.990592551,0.154861416,0.64,1.167859593,0.170462088,0.82,1.139810245,0.123663511,0.7
8717,1,0.152930451,0.7,0.917384726,0.140376167,0.94,1.093759197,0.153434378,0.7,0.960627537,0.186610745,0.7
8341,1,0.155086108,0.65,1.002703537,0.184745192,0.61,1.026032866,0.215698687,0.7,0.975483005,0.18927647,0.7
8816,1,0.170433739,0.65,0.915603443,0.244419213,0.75,0.994825742,0.187208888,0.65,0.955785559,0.19963158,0.61
9785,1,0.17440332,0.65,0.92373287,0.147220979,0.64,1.062836581,0.151560597,0.7,0.97945538,0.124527533,0.7
9680,1,0.181015481,0.71,0.925984718,0.177513065,0.74,1.091073684,0.175719727,0.7,1.012676346,0.130358202,0.7
9164,1,0.192125909,0.8,0.927256487,0.175507019,0.8,0.976723161,0.183921517,0.7,1.032822185,0.120594598,0.7
9896,1,0.164141088,0.65,0.924885849,0.182559827,0.7,1.110259074,0.176849378,0.7,0.979124273,0.134314071,0.66
9416,1,0.171588317,0.66,0.911035319,0.205354058,0.75,1.126482176,0.179796352,0.7,0.963794665,0.190900931,0.7
9891,1,0.199525583,0.6,0.906678224,0.195788442,0.64,1.029640782,0.194618748,0.62,1.02087911,0.123489611,0.72
9176,1,0.159185038,0.63,0.904030399,0.155306654,0.7,1.072231947,0.166654954,0.82,1.004822045,0.194450896,0.7
9729,1,0.238880583,0.8,0.993480312,0.202177544,0.75,1.09407895,0.198046506,0.7,0.966049308,0.187060251,0.7
8778,1,0.197883824,0.82,0.922428283,0.21320499,0.69,1.040488755,0.20122076,0.88,1.044719765,0.121073023,0.87
8581,1,0.180299276,0.77,0.988370125,0.208920764,0.67,1.042996735,0.190063501,0.77,0.99921365,0.195837755,0.75
9765,1,0.184877105,0.74,1.012276049,0.206132041,0.75,1.07205393,0.197789204,0.64,0.93683013,0.124004745,0.7
8357,1,0.194652072,0.63,0.973295092,0.15768383,0.75,1.067008053,0.158846433,0.7,1.001313571,0.124671503,0.7
8788,1,0.203001707,0.64,1.037025006,0.18104582,0.75,1.047009391,0.191028037,0.7,0.977000358,0.124099729,0.7
9377,1,0.193639325,0.63,0.904978265,0.213919083,0.65,1.030776899,0.215150592,0.7,0.980748094,0.197007668,0.7
9284,1,0.222291203,0.79,1.050426989,0.22786243,0.84,1.209969292,0.233676849,0.64,1.001712087,0.12183313,0.72
